Machine Module,SSA3075X-R,3.2.2.5.1R1
Trace Name,Trace A
Meas Type,S21
Start Frequency,+1.000000000E+05
Stop Frequency,+2.000000000E+09
Format,Log Mag
IFBW,1.000000e+04




Trace Data
Frequency,Formatted Data
165753,-6.296156e+00
166577,-6.369299e+00
167404,-6.405111e+00
168235,-6.394068e+00
169071,-6.331416e+00
169910,-6.386999e+00
170754,-6.355307e+00
171602,-6.467528e+00
172455,-6.434136e+00
173311,-6.440633e+00
174172,-6.318065e+00
175037,-6.185168e+00
175906,-6.432761e+00
176780,-6.258954e+00
177658,-6.371731e+00
178540,-6.471142e+00
179427,-6.239053e+00
180318,-6.291830e+00
181214,-6.327902e+00
182114,-6.392470e+00
183018,-6.344167e+00
183927,-6.415532e+00
184841,-6.306802e+00
185759,-6.347594e+00
186681,-6.317498e+00
187608,-6.291625e+00
188540,-6.429080e+00
189476,-6.284942e+00
190417,-6.440820e+00
191363,-6.460802e+00
192314,-6.388382e+00
193269,-6.349898e+00
194229,-6.357420e+00
195193,-6.290060e+00
196163,-6.358442e+00
197137,-6.293296e+00
198116,-6.436628e+00
199100,-6.233329e+00
200089,-6.343460e+00
201083,-6.409137e+00
202081,-6.393300e+00
203085,-6.288303e+00
204093,-6.398811e+00
205107,-6.394913e+00
206126,-6.369517e+00
207149,-6.418428e+00
208178,-6.363249e+00
209212,-6.383326e+00
210251,-6.493525e+00
211295,-6.346574e+00
212345,-6.398614e+00
213399,-6.295491e+00
214459,-6.336008e+00
215524,-6.266930e+00
216595,-6.281131e+00
217671,-6.266510e+00
218752,-6.380505e+00
219838,-6.448721e+00
220930,-6.394229e+00
222027,-6.220087e+00
223130,-6.315949e+00
224238,-6.549800e+00
225352,-6.344610e+00
226471,-6.362723e+00
227596,-6.472749e+00
228726,-6.334105e+00
229862,-6.428626e+00
231004,-6.348078e+00
232151,-6.511077e+00
233304,-6.421230e+00
234463,-6.435705e+00
235627,-6.252035e+00
236797,-6.404379e+00
237973,-6.396231e+00
239155,-6.289188e+00
240343,-6.377554e+00
241537,-6.506099e+00
242736,-6.193061e+00
243942,-6.452700e+00
245153,-6.470375e+00
246371,-6.315684e+00
247595,-6.463084e+00
248824,-6.404552e+00
250060,-6.362855e+00
251302,-6.451402e+00
252550,-6.333826e+00
253804,-6.434152e+00
255065,-6.369206e+00
256332,-6.389583e+00
257605,-6.461291e+00
258884,-6.368341e+00
260170,-6.458618e+00
261462,-6.452119e+00
262761,-6.305161e+00
264066,-6.389503e+00
265377,-6.238427e+00
266695,-6.386148e+00
268020,-6.182747e+00
269351,-6.303547e+00
270688,-6.433589e+00
272033,-6.291487e+00
273384,-6.324662e+00
274742,-6.301513e+00
276106,-6.298846e+00
277477,-6.377786e+00
278856,-6.421050e+00
280240,-6.452044e+00
281632,-6.461569e+00
283031,-6.395422e+00
284437,-6.305705e+00
285849,-6.329855e+00
287269,-6.467840e+00
288696,-6.479375e+00
290130,-6.444164e+00
291571,-6.381676e+00
293019,-6.371576e+00
294474,-6.333505e+00
295936,-6.488361e+00
297406,-6.447013e+00
298883,-6.406833e+00
300368,-6.374480e+00
301859,-6.373872e+00
303359,-6.405274e+00
304865,-6.368890e+00
306379,-6.390563e+00
307901,-6.454833e+00
309430,-6.367592e+00
310967,-6.354211e+00
312511,-6.361014e+00
314064,-6.384862e+00
315623,-6.353185e+00
317191,-6.301076e+00
318766,-6.369533e+00
320349,-6.384723e+00
321940,-6.331613e+00
323539,-6.333316e+00
325146,-6.354911e+00
326761,-6.389781e+00
328384,-6.330146e+00
330015,-6.439350e+00
331654,-6.340456e+00
333301,-6.361046e+00
334956,-6.311075e+00
336620,-6.336011e+00
338292,-6.343452e+00
339972,-6.330306e+00
341660,-6.328574e+00
343357,-6.468821e+00
345062,-6.378912e+00
346776,-6.436634e+00
348498,-6.403416e+00
350229,-6.385921e+00
351969,-6.380141e+00
353717,-6.411497e+00
355474,-6.371873e+00
357239,-6.319024e+00
359013,-6.340650e+00
360796,-6.455302e+00
362588,-6.343863e+00
364389,-6.410839e+00
366199,-6.352235e+00
368017,-6.437593e+00
369845,-6.377153e+00
371682,-6.389720e+00
373528,-6.394496e+00
375383,-6.374855e+00
377247,-6.352797e+00
379121,-6.392603e+00
381004,-6.420033e+00
382896,-6.427839e+00
384798,-6.332708e+00
386709,-6.353907e+00
388630,-6.369211e+00
390560,-6.347672e+00
392499,-6.388540e+00
394449,-6.357737e+00
396408,-6.425319e+00
398377,-6.406788e+00
400355,-6.362335e+00
402344,-6.337253e+00
404342,-6.377616e+00
406350,-6.366692e+00
408368,-6.325155e+00
410396,-6.357368e+00
412434,-6.312485e+00
414483,-6.336564e+00
416541,-6.324429e+00
418610,-6.340590e+00
420689,-6.329751e+00
422779,-6.305364e+00
