Machine Module,SSA3075X-R,3.2.2.5.1R1
Trace Name,Trace A
Meas Type,S21
Start Frequency,+1.000000000E+05
Stop Frequency,+2.000000000E+09
Format,Log Mag
IFBW,1.000000e+04




Trace Data
Frequency,Formatted Data
165753,-6.429192e+00
166577,-6.342192e+00
167404,-6.469678e+00
168235,-6.409888e+00
169071,-6.343609e+00
169910,-6.312467e+00
170754,-6.362326e+00
171602,-6.390535e+00
172455,-6.470076e+00
173311,-6.456672e+00
174172,-6.406513e+00
175037,-6.249357e+00
175906,-6.354194e+00
176780,-6.407236e+00
177658,-6.320303e+00
178540,-6.260590e+00
179427,-6.305954e+00
180318,-6.356654e+00
181214,-6.399081e+00
182114,-6.548640e+00
183018,-6.342088e+00
183927,-6.300761e+00
184841,-6.240927e+00
185759,-6.347993e+00
186681,-6.395193e+00
187608,-6.294485e+00
188540,-6.427328e+00
189476,-6.335500e+00
190417,-6.339656e+00
191363,-6.417953e+00
192314,-6.448360e+00
193269,-6.416342e+00
194229,-6.387964e+00
195193,-6.458191e+00
196163,-6.397369e+00
197137,-6.502000e+00
198116,-6.318631e+00
199100,-6.367818e+00
200089,-6.461617e+00
201083,-6.344440e+00
202081,-6.301046e+00
203085,-6.265612e+00
204093,-6.393806e+00
205107,-6.352241e+00
206126,-6.327769e+00
207149,-6.437833e+00
208178,-6.343012e+00
209212,-6.408089e+00
210251,-6.384104e+00
211295,-6.413790e+00
212345,-6.365007e+00
213399,-6.423932e+00
214459,-6.404960e+00
215524,-6.434262e+00
216595,-6.460717e+00
217671,-6.309353e+00
218752,-6.512055e+00
219838,-6.366499e+00
220930,-6.385314e+00
222027,-6.494207e+00
223130,-6.333119e+00
224238,-6.428458e+00
225352,-6.423357e+00
226471,-6.420086e+00
227596,-6.361016e+00
228726,-6.335054e+00
229862,-6.407093e+00
231004,-6.262516e+00
232151,-6.353648e+00
233304,-6.405033e+00
234463,-6.348445e+00
235627,-6.477166e+00
236797,-6.428436e+00
237973,-6.400215e+00
239155,-6.374129e+00
240343,-6.516996e+00
241537,-6.355491e+00
242736,-6.477805e+00
243942,-6.323123e+00
245153,-6.430729e+00
246371,-6.243460e+00
247595,-6.317023e+00
248824,-6.347126e+00
250060,-6.428193e+00
251302,-6.326004e+00
252550,-6.497934e+00
253804,-6.418079e+00
255065,-6.288837e+00
256332,-6.455501e+00
257605,-6.385610e+00
258884,-6.409264e+00
260170,-6.459261e+00
261462,-6.424817e+00
262761,-6.336357e+00
264066,-6.277509e+00
265377,-6.391004e+00
266695,-6.338348e+00
268020,-6.430013e+00
269351,-6.385305e+00
270688,-6.412484e+00
272033,-6.391554e+00
273384,-6.418821e+00
274742,-6.320669e+00
276106,-6.345959e+00
277477,-6.384404e+00
278856,-6.355600e+00
280240,-6.465250e+00
281632,-6.420208e+00
283031,-6.436781e+00
284437,-6.373582e+00
285849,-6.326204e+00
287269,-6.431879e+00
288696,-6.371270e+00
290130,-6.346496e+00
291571,-6.299908e+00
293019,-6.379637e+00
294474,-6.379182e+00
295936,-6.368385e+00
297406,-6.386027e+00
298883,-6.483763e+00
300368,-6.350659e+00
301859,-6.305811e+00
303359,-6.460718e+00
304865,-6.387567e+00
306379,-6.386335e+00
307901,-6.285189e+00
309430,-6.320170e+00
310967,-6.394482e+00
312511,-6.404956e+00
314064,-6.313959e+00
315623,-6.377585e+00
317191,-6.394890e+00
318766,-6.478577e+00
320349,-6.340248e+00
321940,-6.307836e+00
323539,-6.391641e+00
325146,-6.333472e+00
326761,-6.422818e+00
328384,-6.364522e+00
330015,-6.355305e+00
331654,-6.306806e+00
333301,-6.412753e+00
334956,-6.348035e+00
336620,-6.386610e+00
338292,-6.392127e+00
339972,-6.361190e+00
341660,-6.466022e+00
343357,-6.403516e+00
345062,-6.309035e+00
346776,-6.438258e+00
348498,-6.398226e+00
350229,-6.405410e+00
351969,-6.338273e+00
353717,-6.334257e+00
355474,-6.372932e+00
357239,-6.367853e+00
359013,-6.408385e+00
360796,-6.440485e+00
362588,-6.353137e+00
364389,-6.362253e+00
366199,-6.421426e+00
368017,-6.421799e+00
369845,-6.382931e+00
371682,-6.372600e+00
373528,-6.389573e+00
375383,-6.423714e+00
377247,-6.364140e+00
379121,-6.384219e+00
381004,-6.403666e+00
382896,-6.359551e+00
384798,-6.326413e+00
386709,-6.394187e+00
388630,-6.405714e+00
390560,-6.359786e+00
392499,-6.350623e+00
394449,-6.405373e+00
396408,-6.347899e+00
398377,-6.391513e+00
400355,-6.366805e+00
402344,-6.379113e+00
404342,-6.356139e+00
406350,-6.393176e+00
408368,-6.414325e+00
410396,-6.429340e+00
